id,name,country,iplTeam,formats,arm,type,paceKph,strengths,strategies
jason_holder,Jason Holder,West Indies,SRH,ODI|T20I|Test,R,seam,130–140,Lift|Cross-seam|Change-ups,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
dwayne_bravo,Dwayne Bravo,West Indies,CSK,ODI|T20I|Test,R,seam,125–135,Slower-ball master|Death plans|Yorker,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
ravi_rampaul,Ravi Rampaul,West Indies,RCB,ODI|T20I,R,seam,130–140,Back-of-length|Angle|Control,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
alzarri_joseph,Alzarri Joseph,West Indies,GT,ODI|T20I|Test,R,seam,140–150,Hit the deck|Bounce|Cross-seam,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
obed_mccoy,Obed McCoy,West Indies,RR,T20I,L,seam,130–140,Cutters|Angle|Death overs,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
fidel_edwards,Fidel Edwards,West Indies,,ODI|Test,R,pace,145–155,Slingy pace|Bouncer|Yorker,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
shakib_al_hasan,Shakib Al Hasan,Bangladesh,KKR,ODI|T20I|Test,L,leftarm-spin,—,Drift & dip|Deceive in flight|Change pace,"PP: tidy, attack stumps; Middle: vary pace/shape to edges; Death: wide line to big boundary"
mashrafe_mortaza,Mashrafe Mortaza,Bangladesh,,ODI,R,seam,125–135,Leadership|Hard length|Cross-seam,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
taskin_ahmed,Taskin Ahmed,Bangladesh,,ODI|T20I|Test,R,seam,140–150,Hit the deck|Pace|Bounce,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
mehidy_hasan_miraz,Mehidy Hasan Miraz,Bangladesh,,ODI|T20I|Test,R,offspin,—,Drift & dip|Deceive in flight|Change pace,"PP: tidy, attack stumps; Middle: vary pace/shape to edges; Death: wide line to big boundary"
shoriful_islam,Shoriful Islam,Bangladesh,,ODI|T20I|Test,L,seam,135–145,Left-arm angle|Back-of-length|Swing,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
mujeeb_ur_rahman,Mujeeb Ur Rahman,Afghanistan,PBKS,ODI|T20I,R,mystery,—,Drift & dip|Deceive in flight|Change pace,"PP: tidy, attack stumps; Middle: vary pace/shape to edges; Death: wide line to big boundary"
fazalhaq_farooqi,Fazalhaq Farooqi,Afghanistan,SRH,ODI|T20I,L,seam,130–140,In-swing PP|Angle|Fuller,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
heath_streak,Heath Streak,Zimbabwe,,ODI|Test,R,seam,130–140,Channel|Cutters|Leadership,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
blessing_muzarabani,Blessing Muzarabani,Zimbabwe,,ODI|T20I|Test,R,seam,135–145,Bounce|Hard length|Cross-seam,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
tendai_chatara,Tendai Chatara,Zimbabwe,,ODI|T20I|Test,R,seam,130–140,Outswing|Angle|Back-of-length,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
kyle_jarvis,Kyle Jarvis,Zimbabwe,,ODI|Test,R,seam,130–140,Channel|Control|Seam up,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
prosper_utseya,Prosper Utseya,Zimbabwe,,ODI|T20I,R,offspin,—,Drift & dip|Deceive in flight|Change pace,"PP: tidy, attack stumps; Middle: vary pace/shape to edges; Death: wide line to big boundary"
boyd_rankin,Boyd Rankin,Ireland,,ODI|T20I|Test,R,seam,135–145,Bounce|Hard length|Angle,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
josh_little,Josh Little,Ireland,GT,ODI|T20I,L,seam,135–145,Hit the deck|Angle|Death,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
andy_mcbrine,Andy McBrine,Ireland,,ODI|T20I,R,offspin,—,Drift & dip|Deceive in flight|Change pace,"PP: tidy, attack stumps; Middle: vary pace/shape to edges; Death: wide line to big boundary"
mark_adair,Mark Adair,Ireland,,ODI|T20I,R,seam,135–145,Skiddy|Hard length|Cutters,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
logan_van_beek,Logan van Beek,Netherlands,RR,ODI|T20I,R,seam,130–140,Cross-seam|Cutters|Clutch overs,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
paul_van_meekeren,Paul van Meekeren,Netherlands,,ODI|T20I,R,seam,130–140,Hard length|Angle|Back of length,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
fred_klaassen,Fred Klaassen,Netherlands,,ODI|T20I,L,seam,125–135,Left-arm angle|Swing|Control,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
timm_van_der_gugten,Timm van der Gugten,Netherlands,,ODI|T20I,R,seam,130–140,Channel|Hit the deck|Control,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
josh_davey,Josh Davey,Scotland,,ODI|T20I,R,seam,125–135,Line & length|Cross-seam|Discipline,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
mark_watt,Mark Watt,Scotland,,ODI|T20I,L,leftarm-spin,—,Drift & dip|Deceive in flight|Change pace,"PP: tidy, attack stumps; Middle: vary pace/shape to edges; Death: wide line to big boundary"
sandeep_lamichhane,Sandeep Lamichhane,Nepal,DC,T20I,R,legspin,—,Drift & dip|Deceive in flight|Change pace,"PP: tidy, attack stumps; Middle: vary pace/shape to edges; Death: wide line to big boundary"
ruben_trumpelmann,Ruben Trumpelmann,Namibia,,ODI|T20I,L,seam,130–140,Left-arm angle|Swing|Back of length,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
david_wiese,David Wiese,Namibia,,ODI|T20I,R,seam,130–140,Cutters|Change-ups|Hard length,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
zahoor_khan,Zahoor Khan,UAE,,ODI|T20I,R,seam,125–135,Back-of-length|Angle|Change-ups,PP: 4th-stump seam; Middle: hard length & cutters; Death: yorker/wide yorker & slower ball
hardik_pandya,Hardik Pandya,India,,ODI|T20I,R,seam,130–140,Hard length|Cutters & slower balls|Partnership breaker,"PP: back-of-length at off-stump; Middle: hard length, off-cutters, slower bouncer; Death: wide yorker, slower ball, surprise bouncer"
will_jacks,Will Jacks,England,,ODI|T20I,R,off-spin,80–95,Off-spin|Flat trajectory|Variation in pace,"PP: darted off-spin on off stump with protection on leg side; Middle: wider off-spin, change pace & loop to force aerial shots; Death: quicker, flatter at stumps or wide outside off to restrict big hits"
mitchell_santner,Mitchell Santner,New Zealand,,ODI|T20I,L,off-spin,80–95,Left-arm orthodox|Flight & drift|Economical control,"PP: darted deliveries on off/middle stump, fielders in ring to cut singles; Middle: use flight & angle into right-handers, wide line to left-handers, mix in arm ball; Death: flat darts wide outside off or at stumps, force batter to hit across the line"


